link1	link2	value
3.0	78.0	0.15
3.0	79.0	0.25
3.0	80.0	0.13
3.0	81.0	0.16
3.0	82.0	0.25
3.0	83.0	0.25
3.0	84.0	0.17
3.0	85.0	0.21
3.0	86.0	0.04
3.0	87.0	0.15
3.0	88.0	0.22
3.0	89.0	0.16
3.0	90.0	0.27
3.0	91.0	0.18
3.0	92.0	0.23
3.0	93.0	0.2
3.0	94.0	0.01
3.0	95.0	0.19
4.0	1.0	0.43
4.0	2.0	0.58
4.0	3.0	0.25
4	4	0
4.0	5.0	0.31
4.0	6.0	0.21
4.0	7.0	0.6
4.0	8.0	0.31
4.0	9.0	0.24
4.0	10.0	0.16
4.0	11.0	0.2
4.0	12.0	0.22
4.0	13.0	0.27
4.0	14.0	0.15
4.0	15.0	0.13
4.0	16.0	0.06
4.0	17.0	0.04
4.0	18.0	0.04
4.0	19.0	0.07
4.0	20.0	0.03
4.0	21.0	0.16
4.0	22.0	0.18
4.0	23.0	0.2
4.0	24.0	0.17
4.0	25.0	0.2
4.0	26.0	0.18
4.0	27.0	0.14
4.0	28.0	0.19
4.0	29.0	0.18
4.0	30.0	0.23
4.0	31.0	0.15
4.0	32.0	0.19
4.0	33.0	0.23
4.0	34.0	0.18
4.0	35.0	0.21
4.0	36.0	0.17
4.0	37.0	0.26
4.0	38.0	0.18
4.0	39.0	0.16
4.0	40.0	0.18
4.0	41.0	0.17
4.0	42.0	0.12
4.0	43.0	0.14
4.0	44.0	0.2
4.0	45.0	0.19
4.0	46.0	0.21
4.0	47.0	0.18
4.0	48.0	0.22
4.0	49.0	0.2
4.0	50.0	0.19
4.0	51.0	0.16
4.0	52.0	0.17
4.0	53.0	0.12
4.0	54.0	0.14
4.0	55.0	0.11
4.0	56.0	0.1
4.0	57.0	0.18
4.0	58.0	0.18
4.0	59.0	0.13
4.0	60.0	0.13
4.0	61.0	0.08
4.0	62.0	0.12
4.0	63.0	0.19
4.0	64.0	0.15
4.0	65.0	0.13
4.0	66.0	0.19
4.0	67.0	0.2
4.0	68.0	0.21
4.0	69.0	0.2
4.0	70.0	0.14
4.0	71.0	0.15
4.0	72.0	0.16
4.0	73.0	0.16
4.0	74.0	0.13
4.0	75.0	0.19
4.0	76.0	0.13
4.0	77.0	0.22
4.0	78.0	0.15
4.0	79.0	0.23
4.0	80.0	0.12
4.0	81.0	0.13
4.0	82.0	0.2
4.0	83.0	0.2
4.0	84.0	0.16
4.0	85.0	0.16
4.0	86.0	0.04
4.0	87.0	0.13
4.0	88.0	0.18
4.0	89.0	0.14
4.0	90.0	0.21
4.0	91.0	0.15
4.0	92.0	0.19
4.0	93.0	0.16
4.0	94.0	0.01
4.0	95.0	0.17
5.0	1.0	0.61
5.0	2.0	0.53
5.0	3.0	0.35
5.0	4.0	0.31
5	5	0
5.0	6.0	0.29
5.0	7.0	0.22
5.0	8.0	0.55
5.0	9.0	0.34
5.0	10.0	0.2
5.0	11.0	0.23
5.0	12.0	0.23
5.0	13.0	0.49
5.0	14.0	0.2
5.0	15.0	0.16
5.0	16.0	0.06
5.0	17.0	0.05
5.0	18.0	0.05
5.0	19.0	0.08
5.0	20.0	0.04
5.0	21.0	0.21
5.0	22.0	0.21
5.0	23.0	0.24
5.0	24.0	0.21
5.0	25.0	0.25
5.0	26.0	0.2
5.0	27.0	0.17
5.0	28.0	0.22
5.0	29.0	0.19
5.0	30.0	0.24
5.0	31.0	0.19
5.0	32.0	0.22
5.0	33.0	0.23
5.0	34.0	0.17
5.0	35.0	0.24
5.0	36.0	0.22
5.0	37.0	0.27
5.0	38.0	0.19
5.0	39.0	0.2
5.0	40.0	0.2
5.0	41.0	0.2
5.0	42.0	0.16
5.0	43.0	0.18
5.0	44.0	0.23
5.0	45.0	0.22
5.0	46.0	0.2
5.0	47.0	0.17
5.0	48.0	0.25
5.0	49.0	0.24
5.0	50.0	0.22
5.0	51.0	0.19
5.0	52.0	0.19
5.0	53.0	0.16
5.0	54.0	0.2
5.0	55.0	0.16
5.0	56.0	0.11
5.0	57.0	0.24
5.0	58.0	0.26
5.0	59.0	0.2
5.0	60.0	0.19
5.0	61.0	0.11
5.0	62.0	0.16
5.0	63.0	0.26
5.0	64.0	0.2
5.0	65.0	0.17
5.0	66.0	0.2
5.0	67.0	0.29
5.0	68.0	0.25
5.0	69.0	0.27
5.0	70.0	0.17
5.0	71.0	0.21
5.0	72.0	0.18
5.0	73.0	0.21
5.0	74.0	0.17
5.0	75.0	0.24
5.0	76.0	0.16
5.0	77.0	0.27
5.0	78.0	0.17
5.0	79.0	0.33
5.0	80.0	0.15
5.0	81.0	0.18
5.0	82.0	0.27
5.0	83.0	0.24
5.0	84.0	0.19
5.0	85.0	0.22
5.0	86.0	0.04
5.0	87.0	0.18
5.0	88.0	0.22
5.0	89.0	0.19
5.0	90.0	0.28
5.0	91.0	0.21
5.0	92.0	0.24
5.0	93.0	0.23
5.0	94.0	0.02
5.0	95.0	0.21
6.0	1.0	0.29
6.0	2.0	0.23
6.0	3.0	0.35
6.0	4.0	0.21
6.0	5.0	0.29
6	6	0
6.0	7.0	0.17
6.0	8.0	0.22
6.0	9.0	0.42
6.0	10.0	0.18
6.0	11.0	0.18
6.0	12.0	0.16
6.0	13.0	0.24
6.0	14.0	0.15
6.0	15.0	0.1
6.0	16.0	0.04
6.0	17.0	0.03
6.0	18.0	0.03
6.0	19.0	0.05
6.0	20.0	0.02
6.0	21.0	0.14
6.0	22.0	0.15
6.0	23.0	0.16
6.0	24.0	0.13
6.0	25.0	0.16
6.0	26.0	0.13
6.0	27.0	0.12
6.0	28.0	0.15
6.0	29.0	0.12
6.0	30.0	0.17
6.0	31.0	0.12
6.0	32.0	0.14
6.0	33.0	0.16
6.0	34.0	0.12
6.0	35.0	0.17
6.0	36.0	0.14
6.0	37.0	0.19
6.0	38.0	0.13
6.0	39.0	0.15
6.0	40.0	0.13
6.0	41.0	0.14
6.0	42.0	0.09
6.0	43.0	0.11
6.0	44.0	0.14
6.0	45.0	0.15
6.0	46.0	0.14
6.0	47.0	0.11
6.0	48.0	0.17
6.0	49.0	0.16
6.0	50.0	0.15
6.0	51.0	0.12
6.0	52.0	0.13
6.0	53.0	0.11
6.0	54.0	0.14
6.0	55.0	0.12
6.0	56.0	0.07
6.0	57.0	0.17
6.0	58.0	0.17
6.0	59.0	0.15
6.0	60.0	0.14
6.0	61.0	0.08
6.0	62.0	0.11
6.0	63.0	0.18
6.0	64.0	0.13
6.0	65.0	0.11
6.0	66.0	0.14
6.0	67.0	0.21
6.0	68.0	0.16
6.0	69.0	0.19
6.0	70.0	0.1
6.0	71.0	0.13
6.0	72.0	0.12
6.0	73.0	0.12
6.0	74.0	0.09
6.0	75.0	0.16
6.0	76.0	0.1
6.0	77.0	0.18
6.0	78.0	0.11
6.0	79.0	0.18
6.0	80.0	0.09
6.0	81.0	0.11
6.0	82.0	0.18
6.0	83.0	0.18
6.0	84.0	0.12
6.0	85.0	0.14
6.0	86.0	0.03
6.0	87.0	0.11
6.0	88.0	0.16
6.0	89.0	0.11
6.0	90.0	0.2
6.0	91.0	0.13
6.0	92.0	0.17
6.0	93.0	0.15
6.0	94.0	0.01
6.0	95.0	0.14
7.0	1.0	0.24
7.0	2.0	0.33
7.0	3.0	0.19
7.0	4.0	0.6
7.0	5.0	0.22
7.0	6.0	0.17
7	7	0
7.0	8.0	0.23
7.0	9.0	0.19
7.0	10.0	0.17
7.0	11.0	0.16
7.0	12.0	0.16
7.0	13.0	0.18
7.0	14.0	0.15
7.0	15.0	0.1
7.0	16.0	0.05
7.0	17.0	0.04
7.0	18.0	0.05
7.0	19.0	0.06
7.0	20.0	0.03
7.0	21.0	0.15
7.0	22.0	0.16
7.0	23.0	0.17
7.0	24.0	0.14
7.0	25.0	0.17
7.0	26.0	0.15
7.0	27.0	0.12
7.0	28.0	0.16
7.0	29.0	0.13
7.0	30.0	0.18
7.0	31.0	0.13
7.0	32.0	0.16
7.0	33.0	0.2
7.0	34.0	0.16
7.0	35.0	0.18
7.0	36.0	0.15
7.0	37.0	0.21
7.0	38.0	0.16
7.0	39.0	0.13
7.0	40.0	0.16
7.0	41.0	0.14
7.0	42.0	0.1
7.0	43.0	0.13
7.0	44.0	0.18
7.0	45.0	0.18
7.0	46.0	0.16
7.0	47.0	0.14
7.0	48.0	0.21
7.0	49.0	0.18
7.0	50.0	0.2
7.0	51.0	0.13
7.0	52.0	0.15
7.0	53.0	0.1
7.0	54.0	0.14
7.0	55.0	0.11
7.0	56.0	0.08
7.0	57.0	0.16
7.0	58.0	0.16
7.0	59.0	0.13
7.0	60.0	0.12
7.0	61.0	0.07
7.0	62.0	0.11
7.0	63.0	0.18
7.0	64.0	0.13
7.0	65.0	0.11
7.0	66.0	0.14
7.0	67.0	0.18
7.0	68.0	0.16
7.0	69.0	0.17
7.0	70.0	0.1
7.0	71.0	0.12
7.0	72.0	0.12
7.0	73.0	0.12
7.0	74.0	0.09
7.0	75.0	0.17
7.0	76.0	0.09
7.0	77.0	0.17
7.0	78.0	0.11
7.0	79.0	0.2
7.0	80.0	0.1
7.0	81.0	0.11
7.0	82.0	0.16
7.0	83.0	0.16
7.0	84.0	0.11
7.0	85.0	0.13
7.0	86.0	0.04
7.0	87.0	0.1
7.0	88.0	0.14
7.0	89.0	0.11
7.0	90.0	0.17
7.0	91.0	0.12
7.0	92.0	0.15
7.0	93.0	0.13
7.0	94.0	0.02
7.0	95.0	0.14
8.0	1.0	0.57
8.0	2.0	0.55
8.0	3.0	0.3
8.0	4.0	0.31
8.0	5.0	0.55
8.0	6.0	0.22
8.0	7.0	0.23
8	8	0
8.0	9.0	0.28
8.0	10.0	0.14
8.0	11.0	0.2
8.0	12.0	0.18
8.0	13.0	0.4
8.0	14.0	0.14
8.0	15.0	0.1
8.0	16.0	0.05
8.0	17.0	0.04
8.0	18.0	0.04
8.0	19.0	0.06
8.0	20.0	0.03
8.0	21.0	0.15
8.0	22.0	0.17
8.0	23.0	0.18
8.0	24.0	0.16
8.0	25.0	0.19
8.0	26.0	0.14
8.0	27.0	0.13
8.0	28.0	0.17
8.0	29.0	0.15
8.0	30.0	0.19
8.0	31.0	0.14
8.0	32.0	0.17
8.0	33.0	0.19
8.0	34.0	0.15
8.0	35.0	0.22
8.0	36.0	0.16
8.0	37.0	0.19
8.0	38.0	0.15
8.0	39.0	0.14
8.0	40.0	0.16
8.0	41.0	0.15
8.0	42.0	0.11
8.0	43.0	0.13
8.0	44.0	0.18
8.0	45.0	0.17
8.0	46.0	0.18
8.0	47.0	0.13
8.0	48.0	0.19
8.0	49.0	0.19
8.0	50.0	0.17
8.0	51.0	0.15
8.0	52.0	0.16
8.0	53.0	0.11
8.0	54.0	0.14
8.0	55.0	0.11
8.0	56.0	0.08
8.0	57.0	0.16
8.0	58.0	0.18
8.0	59.0	0.15
8.0	60.0	0.13
8.0	61.0	0.07
8.0	62.0	0.11
8.0	63.0	0.18
8.0	64.0	0.15
8.0	65.0	0.11
8.0	66.0	0.16
8.0	67.0	0.2
8.0	68.0	0.19
8.0	69.0	0.18
8.0	70.0	0.14
8.0	71.0	0.17
8.0	72.0	0.16
8.0	73.0	0.14
8.0	74.0	0.15
8.0	75.0	0.17
8.0	76.0	0.12
8.0	77.0	0.21
8.0	78.0	0.12
8.0	79.0	0.26
8.0	80.0	0.11
8.0	81.0	0.12
8.0	82.0	0.19
8.0	83.0	0.17
8.0	84.0	0.13
8.0	85.0	0.17
8.0	86.0	0.03
